MAGIC	WIZARDS
_DP_format_VOC_file	_DP_format_VOC_file
_DP_start_d_pb	_DP_start_d_pb
_DP_stop_d_bp	_DP_stop_d_bp
UU_DP_get_VOC_status	UU_DP_get_VOC_status
load_global_timbre	load_global_timbre
Audio_Init__WIP	Audio_Init__WIP
Play_Sound	Play_Sound
UU_SND_SetMIDIVol	Set_Music_Volume__STUB
UU_SND_GetMIDIVol	Get_Music_Volume__STUB
UU_SND_Silence	Stop_All_Sounds__STUB
SND_Get_Seq_Status	Midi_Sequence_Status
Stop_Music__STUB	Stop_Music__STUB
Audio_Uninit__STUB	Audio_Uninit__STUB
UU_SND_LegacyFn	NX_UU_SND_LegacyFn
BLASTER__board_ID	BLASTER__board_ID
Audio_Error__STUB	Audio_Error__STUB
j_Save_SAVE_GAM	j_Save_SAVE_GAM
j_Load_SAVE_GAM	j_Load_SAVE_GAM
Save_SAVE_GAM	Save_SAVE_GAM
Load_SAVE_GAM	Load_SAVE_GAM
