MAGIC	WIZARDS
UU_LBX_IMG_OutlineOvr_R	Outline_Bitmap_Pixels_No_Glass
UU_LBX_IMG_ColorScrmblr	Bitmap_Aura_Pixels
UU_LBX_IMG_DrawRect	UU_LBX_IMG_DrawRect
LBX_IMG_GetGFXSize	Get_Bitmap_Actual_Size
VGA_DrawPartialImage	Clipped_Draw_Frame
VGA_DrawPartImage_R	Clipped_Remap_Draw_Frame__NOP
VGA_DrawPartEmsImg	EMS_Clipped_Draw
EMM_MapNextIMGPages	EMS_Clipped_Draw_Map4Pages
VGA_DrawPartEmsImg_R	EMS_Clipped_Remap_Draw
FLIC_LoadFrame	Add_Picture_To_Bitmap
FLIC_LoadEMSFrame	Add_Picture_To_Bitmap_EMM
EMM_MapNextIMGPages2	EMM_MapNextIMGPages2
Draw_Picture_ASM	Draw_Picture_ASM
VGA_CopyLBXImage_R	Remap_Draw_Picture_ASM
UU_LBX_IMG_RawOverlay	Mask_Bitmap_Pixels
UU_LBX_IMG_GetIntensity	UU_LBX_IMG_GetIntensity
UU_LBX_IMG_PartialCopy	Mask_Bitmap_Pixels_Inverse
UU_LBX_IMG_Shrink	Reduce_Bitmap
UU_LBX_IMG_Stretch	Enlarge_Bitmap
Vanish_Bitmap	Vanish_Bitmap__WIP
Grayscale_Bitmap	Gray_Scale_Bitmap
UU_LBX_IMG_RevGrayscale	LBX_IMG_RevGrayscale
UU_DUP_RevGrayscale	UU_DUP_RevGrayscale
UU_RNG_GFX_Random	RNG_GFX_Random__WIP
UU_MATH_Inverse_Tan_QI	Get_Base_Angle
UU_MATH_Int_Cos	Cos
UU_MATH_Int_Sin	Sin
UU_VGA_DrawTexture	VGA_DrawTexture
UU_VGA_DrawTexture_R	VGA_DrawTexture_R
Set_Mouse_List	Set_Mouse_List
Check_Mouse_Shape	Check_Mouse_Shape
Get_Pointer_Image_Number	Get_Pointer_Image_Number
Get_Pointer_Offset	Get_Pointer_Offset
Mouse_Button	Mouse_Button
MD_Init	Init_Mouse_Driver
CRP_MD_EnableEmu	RP_MOUSE_SetUsable
Reset_System_Mouse	Reset_System_Mouse
Mouse_Movement_Handler	Mouse_Movement_Handler
Mouse_Button_Handler	Mouse_Button_Handler
MD_INT_Handler	User_Mouse_Handler
Save_Mouse_State	Save_Mouse_State
Restore_Mouse_State	Restore_Mouse_State
UU_MOUSE_GetHwOrEmu	UU_MOUSE_Usable
Read_Key	Read_Key
Pointer_X	Pointer_X
Pointer_Y	Pointer_Y
MD_MoveCursor	Set_Pointer_Position
MD_GetClickX	Mouse_Buffer_X
MD_GetClickY	Mouse_Buffer_Y
MD_GetClickedBtns	Mouse_Buffer_Button
Mouse_Buffer	Mouse_Buffer
Mouse_Buffer2	Mouse_Buffer2
CRP_MD_SetClick_CilckRec2	Set_Buffer_2
UU_MD_SetClick_All	Set_Mouse_Buffer
MD_ISR_SaveClick	Check_Mouse_Buffer
Save_Mouse_On_Page	Save_Mouse_On_Page
Save_Mouse_Off_Page	Save_Mouse_Off_Page
Save_Mouse_On_Page_	Save_Mouse_On_Page_
Copy_Mouse_Off_To_Mouse_Back	Copy_Mouse_Off_To_Mouse_Back
Restore_Mouse_On_Page	Restore_Mouse_On_Page
Restore_Mouse_Off_Page	Restore_Mouse_Off_Page
UU_CRL_Restore_SP3	UU_VGA_RestoreToFrame3
Draw_Mouse_On_Page	Draw_Mouse_On_Page
Draw_Mouse_Off_Page	Draw_Mouse_Off_Page
Draw_Mouse_On_Page_	Draw_Mouse_On_Page_
Draw_Mouse_Off_Page_	Draw_Mouse_Off_Page_
UU_GUI_ClearClickBuffer	UU_GUI_ClearClickBuffer
UU_GUI_ClickBuffReset	UU_GUI_ClickBuffReset
UU_GUI_SetClickBuffVar1	UU_GUI_SetClickBuffVar1
UU_GUI_ClearBufferClick	UU_GUI_ClearBufferClick
UU_GUI_FindEmptyClick	UU_GUI_FindEmptyClick
UU_GUI_GetClickBuffVar1	UU_GUI_GetClickBuffVar1
UU_GUI_AddBufferClick	UU_GUI_AddBufferClick
UU_GUI_ProcBufferClick	UU_GUI_ProcBufferClick
Interpret_Mouse_Input	Interpret_Mouse_Input
UU_GUI_SetTimeOutP	UU_GUI_SetTimeOutP
UU_GUI_SetTimeOutN	UU_GUI_SetTimeOutN
UU_GUI_EditStart	UU_GUI_EditStart
UU_GUI_SetClickBuffer	UU_GUI_SetClickBuffer
UU_GUI_LoadClickFile	UU_GUI_LoadClickFile
UU_GUI_SaveClickFile	UU_GUI_SaveClickFile
