segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg013->seg013	10	UU_EMM_CustomLBXLoad	UU_EMM_CustomLBXLoad	1.000000	0.895375	53	0.795367	1.000000	0	1.000000	222	222
seg017->seg017	3	UU_VGA_SetFont_Style3	Set_Font_Style_Shadow_Heavy	1.000000	0.896450	2	0.904762	0.927039	1	0.952381	21	21
seg033->seg035	38	Draw_Mouse_Off_Page	Draw_Mouse_Off_Page	1.000000	0.896875	7	0.720000	0.952381	2	0.916667	24	24
seg020->seg020	1	Load_Palette	Load_Palette	1.000000	0.898004	22	0.822581	1.000000	0	1.000000	105	105
_AIL_->_AIL_	103	_DP_format_VOC_file	_DP_format_VOC_file	1.000000	0.899317	6	0.949580	1.000000	0	1.000000	110	110
seg017->seg017	2	VGA_SetFont_Style2	Set_Font_Style_Shadow_Up	1.000000	0.899457	5	0.800000	0.927039	1	0.952381	21	21
seg008->seg008	1	Near_Allocate_Mark	Near_Allocate_Mark	1.000000	0.900000	2	0.800000	1.000000	0	1.000000	6	6
seg017->seg017	58	VGA_GetVertSpacing	Get_Font_Vertical_Spacing	1.000000	0.901099	3	0.880000	0.915254	1	0.960000	25	25
seg032->seg034	6	UU_VGA_DrawTexture_R	VGA_DrawTexture_R	1.000000	0.902129	37	0.860377	1.000000	0	1.000000	212	212
seg033->seg035	22	MD_GetClickX	Mouse_Buffer_X	1.000000	0.902778	1	0.833333	1.000000	0	1.000000	6	6
seg033->seg035	23	MD_GetClickY	Mouse_Buffer_Y	1.000000	0.902778	1	0.833333	1.000000	0	1.000000	6	6
seg034->seg036	44	UU_GUI_CreateToggleBtn	UU_GUI_CreateToggleBtn	1.000000	0.905087	3	0.923077	1.000000	0	1.000000	39	39
seg020->seg020	2	UU_VGA_ResetShade0	Update_Remap_Gray_Palette	1.000000	0.905199	2	0.875000	1.000000	0	1.000000	16	16
seg033->seg035	15	UU_MOUSE_GetHwOrEmu	UU_MOUSE_Usable	1.000000	0.906977	3	0.769231	1.000000	0	1.000000	11	11
seg034->seg036	11	Enable_Mouse_Wait	Enable_Mouse_Wait	1.000000	0.909091	1	0.800000	1.000000	0	1.000000	5	5
_AIL_->_AIL_	25	_AIL_register_driver	_AIL_register_driver	1.000000	0.909467	18	0.816327	1.000000	0	1.000000	71	71
seg028->seg030	41	LBX_IMG_SetLoop1	FLIC_Set_LoopFrame_1	1.000000	0.912500	2	0.833333	0.885246	1	0.916667	12	12
seg018->seg018	2	Print_Character	Print_Character	1.000000	0.912946	4	0.935484	1.000000	0	1.000000	56	56
seg028->seg030	15	FLIC_ResetFrame	Reset_Animation_Frame	1.000000	0.916129	3	0.750000	0.913793	1	0.916667	12	12
seg034->seg036	10	Disable_Mouse_Wait	Disable_Mouse_Wait	1.000000	0.916667	1	0.800000	1.000000	0	1.000000	5	5
seg010->seg010	14	Set_Alternate_Path	Set_Alternate_Path	1.000000	0.916667	2	0.818182	0.890909	1	0.909091	11	11
seg034->seg036	9	Enable_Cancel	Enable_Cancel	1.000000	0.917293	1	0.800000	1.000000	0	1.000000	5	5
seg031->seg033	3	FLIC_LoadEMSFrame	Add_Picture_To_Bitmap_EMM	1.000000	0.917846	17	0.901734	1.000000	0	1.000000	148	148
seg026->seg028	5	Copy_On_To_Off_Page	Copy_On_To_Off_Page	1.000000	0.918919	3	0.875000	1.000000	0	1.000000	23	23
seg017->seg017	55	VGA_GetFontColor2	Get_Current_Highlight_Color	1.000000	0.920548	1	0.909091	1.000000	0	1.000000	11	11
seg034->seg036	6	UU_GUI_LoadClickFile	UU_GUI_LoadClickFile	1.000000	0.920664	3	0.921053	1.000000	0	1.000000	37	37
_AIL_->_AIL_	19	_AIL_stop_timer	_AIL_stop_timer	1.000000	0.921824	1	0.961538	1.000000	0	1.000000	21	21
seg024->seg024	6	Check_Release_Version	Check_Release_Version	1.000000	0.921986	1	0.833333	1.000000	0	1.000000	6	6
seg016->seg016	8	VGA_Shade_Rect	Tint_Fill	1.000000	0.925293	47	0.800000	0.978821	5	0.976415	212	212
seg005->seg005	4	GAME_EXE_Swap	GAME_EXE_Swap	1.000000	0.929010	5	0.933333	1.000000	0	1.000000	67	67
seg028->seg030	19	LBX_IMG_GetHeight	FLIC_Get_Height	1.000000	0.929032	3	0.769231	0.956522	1	0.916667	12	12
