MAGIC	WIZARDS	magic_bytes	wizards_bytes	size_ratio
_AIL_p88:_CB_play_buffer	_AIL_p88:_CB_play_buffer	52	52	1.000000
_AIL_p89:_next_block	_AIL_p89:_next_block	85	85	1.000000
_AIL_p90:_next_buffer	_AIL_p90:_next_buffer	39	39	1.000000
_AIL_p91:_process_block	_AIL_p91:_process_block	343	343	1.000000
_AIL_p92:_process_buffer	_AIL_p92:_process_buffer	83	83	1.000000
_AIL_p93:_DMA_transfer	_AIL_p93:_DMA_transfer	43	43	1.000000
_AIL_p94:_xfer_chunk	_AIL_p94:_xfer_chunk	215	215	1.000000
_AIL_p95:_DP_describe_driver	_AIL_p95:_DP_describe_driver	128	128	1.000000
_AIL_p96:_DP_detect_device	_AIL_p96:_DP_detect_device	14	14	1.000000
_AIL_p97:_DP_init_driver	_AIL_p97:_DP_init_driver	101	101	1.000000
_AIL_p98:_DP_shutdown_driver	_AIL_p98:_DP_shutdown_driver	51	51	1.000000
_AIL_p99:UU_DP_index_VOC_blk	_AIL_p99:UU_DP_index_VOC_blk	294	294	1.000000
_AIL_p100:_DP_register_sb	_AIL_p100:_DP_register_sb	95	95	1.000000
_AIL_p101:UU_DP_get_sb_status	_AIL_p101:UU_DP_get_sb_status	21	21	1.000000
_AIL_p102:_DP_play_VOC_file	_AIL_p102:_DP_play_VOC_file	166	166	1.000000
_AIL_p103:_DP_format_VOC_file	_AIL_p103:_DP_format_VOC_file	238	238	1.000000
_AIL_p104:UU_DP_format_sb	_AIL_p104:UU_DP_format_sb	61	61	1.000000
_AIL_p105:_DP_start_d_pb	_AIL_p105:_DP_start_d_pb	72	72	1.000000
_AIL_p106:_DP_stop_d_bp	_AIL_p106:_DP_stop_d_bp	68	68	1.000000
_AIL_p107:UU_DP_get_VOC_status	_AIL_p107:UU_DP_get_VOC_status	15	15	1.000000
ovr048p1:Save_SAVE_GAM	ovr050p1:Save_SAVE_GAM	1016	1016	1.000000
ovr048p2:Load_SAVE_GAM	ovr050p2:Load_SAVE_GAM	1000	1000	1.000000
seg002p1:Mark_Time	seg002p1:Mark_Time	22	22	1.000000
seg002p2:Time_Passed_	seg002p2:Time_Passed_	16	16	1.000000
seg002p3:Release_Time	seg002p3:Release_Time	54	54	1.000000
seg002p4:RP_CLK_ExtWait	seg002p4:UU_CLK_ExtWait	97	97	1.000000
seg002p5:Wait_For_Vsync_	seg002p5:VGA_WaitSync	16	16	1.000000
seg003p1:RP_Return_Ignore	seg003p1:UU_Return_Ignore	3	3	1.000000
seg003p2:RP_DISK_GetSpace	seg003p2:UU_Botched_DISK_GetSpace	90	90	1.000000
seg003p3:RP_DISK_GetDefaultDrive	seg003p3:UU_DISK_GetDefaultDrive	15	15	1.000000
seg003p4:UU_DISK_DeleteFile	seg003p4:UU_DISK_DeleteFile	22	22	1.000000
seg003p5:LOF	seg003p5:LOF	104	104	1.000000
seg003p6:UU_DISK_GetFileDateTime	seg003p6:UU_DISK_GetFileDateTime	78	78	1.000000
seg003p7:UU_DISK_CheckDrive	seg003p7:UU_DISK_CheckDrive	55	55	1.000000
seg003p8:UU_DISK_GetCurrentDir	seg003p8:UU_DISK_GetCurrentDir	45	45	1.000000
seg004p1:DIR	seg004p1:DIR	128	128	1.000000
seg004p2:Disk_Free	seg004p2:Disk_Free	34	34	1.000000
seg005p1:Exit_With_Size	seg005p1:Exit_With_Size	311	311	1.000000
seg005p2:Exit_With_Message	seg005p2:Exit_With_Message	44	44	1.000000
seg005p4:GAME_EXE_Swap	seg005p4:GAME_EXE_Swap	155	155	1.000000
seg005p5:Update_MemFreeWorst_KB	seg005p5:Check_Free	24	24	1.000000
seg005p7:RP_VGA_TextModeString	seg005p7:UU_VGA_TextModeString	88	88	1.000000
seg006p1:Reset_Video	seg006p1:Reset_Video	6	6	1.000000
seg006p3:UU_DOS_PrintString	seg006p3:Print_Message	41	41	1.000000
seg006p4:dos_memfree_kb	seg006p4:Dos_Free	30	30	1.000000
seg006p5:DBG_Open_ERROR_LOG	seg006p5:DBG_Open_ERROR_LOG	9	9	1.000000
seg006p6:DBG_Close_ERROR_LOG	seg006p6:DBG_Close_ERROR_LOG	9	9	1.000000
seg007p1:UU_DOS_Allocate_Space	seg007p1:UU_SAMB_DOS_Allocate_Memory	56	56	1.000000
seg007p2:UU_DOS_MemBlk_Alloc	seg007p2:UU_DOS_MemAlloc	31	31	1.000000
seg007p3:UU_DOS_MemBlk_Free	seg007p3:UU_DOS_MemFree	29	29	1.000000
seg007p4:Check_Allocation	seg007p4:Check_Allocation	39	39	1.000000
seg007p5:farpeekb	seg007p5:farpeekb	20	20	1.000000
seg007p6:farpeekw	seg007p6:farpeekw	18	18	1.000000
seg007p7:farpeekdw	seg007p7:farpeekdw	25	25	1.000000
seg007p8:farpokeb	seg007p8:farpokeb	21	21	1.000000
seg007p9:farpokew	seg007p9:farpokew	21	21	1.000000
seg007p10:UU_farpokedw	seg007p10:farpokedw	25	25	1.000000
seg008p1:Near_Allocate_Mark	seg008p1:Near_Allocate_Mark	11	11	1.000000
seg008p2:Near_Allocate_Undo	seg008p2:Near_Allocate_Undo	11	11	1.000000
seg008p3:UU_Near_Allocate_Reset	seg008p3:Near_Allocate_Reset	17	17	1.000000
seg008p4:Near_Allocate_First	seg008p4:Near_Allocate_First	55	55	1.000000
seg008p5:Near_Allocate_Next	seg008p5:Near_Allocate_Next	60	60	1.000000
seg008p6:Near_Allocation_Error	seg008p6:Near_Allocation_Error	74	74	1.000000
seg008p7:Allocate_Space	seg008p7:Allocate_Space	159	159	1.000000
seg008p8:Allocate_Space_No_Header__LbxHeader	seg008p8:Allocate_Space_No_Header__LbxHeader	74	74	1.000000
seg008p9:SA_Allocate_MemBlk_EntrySize	seg008p9:Allocate_Space_No_Header__EntrySize	74	74	1.000000
seg008p10:Mark_Block	seg008p10:Mark_Block	46	46	1.000000
seg008p11:Release_Block	seg008p11:Release_Block	46	46	1.000000
seg008p12:Allocate_First_Block	seg008p12:Allocate_First_Block	201	201	1.000000
seg008p13:UU_SA_Alloc_Reset	seg008p13:Reset_First_Block	53	53	1.000000
seg008p14:Allocate_Next_Block	seg008p14:Allocate_Next_Block	209	209	1.000000
seg008p15:Get_Free_Blocks	seg008p15:Get_Free_Blocks	51	51	1.000000
seg008p16:SA_MK_FP0	seg008p16:SA_MK_FP0	35	35	1.000000
seg008p17:UU_SA_MK_FP_Norm	seg008p17:UU_combine_32	47	47	1.000000
seg008p18:UU_SA_Deallocate_Space	seg008p18:UU_LBX_Alloc_Free	33	33	1.000000
seg008p19:Allocation_Error	seg008p19:Allocation_Error	410	410	1.000000
seg009p1:lbx_open	seg009p1:lbx_open	32	32	1.000000
seg009p2:lbx_close	seg009p2:lbx_close	20	20	1.000000
seg009p3:lbx_seek	seg009p3:lbx_seek	41	41	1.000000
seg009p4:lbx_lof	seg009p4:lbx_lof	41	41	1.000000
seg009p5:lbx_read_sgmt	seg009p5:lbx_read_sgmt	45	45	1.000000
seg009p6:lbx_read_ofst	seg009p6:lbx_read_ofst	40	40	1.000000
seg009p7:_fstrcpy	seg009p7:_fstrcpy	57	57	1.000000
